english,spanish,part_of_speech
time,la vez,noun
day,el día,noun
year,el año,noun
father,el padre,noun
thing,la cosa,noun
mister,el señor,noun
man,el hombre,noun
house,la casa,noun
truth,la verdad,noun
life,la vida,noun
boy,el chico,noun
night,la noche,noun
son,el hijo,noun
favor,el favor,noun
friend,el amigo,noun
fact,el hecho,noun
dad,el papá,noun
work,el trabajo,noun
woman,la mujer,noun
part,la parte,noun
agreement,el acuerdo,noun
moment,el momento,noun
world,el mundo,noun
people,la gente,noun
child,el niño,noun
hour,la hora,noun
problem,el problema,noun
place,el lugar,noun
person,la persona,noun
kind,el tipo,noun
money,el dinero,noun
morning,la mañana,noun
brother,el hermano,noun
hand,la mano,noun
case,el caso,noun
name,el nombre,noun
shape,la forma,noun
count,la cuenta,noun
reason,la razón,noun
past,el pasado,noun
week,la semana,noun
family,la familia,noun
police,la policía,noun
country,el país,noun
minute,el minuto,noun
shit,la mierda,noun
history,la historia,noun
love,el amor,noun
side,el lado,noun
way,la manera,noun
head,la cabeza,noun
point,el punto,noun
month,el mes,noun
city,la ciudad,noun
uncle,el tío,noun
door,la puerta,noun
word,la palabra,noun
eye,el ojo,noun
water,el agua,noun
half,el medio,noun
a crazy person,el loco,noun
end,el fin,noun
husband,el esposo,noun
question,la pregunta,noun
death,la muerte,noun
million,el millón,noun
reality,la realidad,noun
team,el equipo,noun
help,la ayuda,noun
body,el cuerpo,noun
chief,el jefe,noun
assumption,el supuesto,noun
government,el gobierno,noun
old person,el viejo,noun
earth,la tierra,noun
number,el número,noun
group,el grupo,noun
war,la guerra,noun
affection,el cariño,noun
lecture,la clase,noun
weapon,el arma,noun
face,la cara,noun
play,el juego,noun
heart,el corazón,noun
farewell,el adiós,noun
luck,la suerte,noun
book,el libro,noun
light,la luz,noun
fear,el miedo,noun
relation,la relación,noun
change,el cambio,noun
right,el derecho,noun
proof,la prueba,noun
sense,el sentido,noun
order,la orden,noun
dog,el perro,noun
turn,la vuelta,noun
car,el coche,noun
force,la fuerza,noun
system,el sistema,noun
pace,el paso,noun
street,la calle,noun
town,el pueblo,noun
care,el cuidado,noun
party,el partido,noun
foot,el pie,noun
forehead,la frente,noun
school,la escuela,noun
blood,la sangre,noun
timeliness,la oportunidad,noun
situation,la situación,noun
politics,la política,noun
law,la ley,noun
telephone,el teléfono,noun
bad guy,el malo,noun
service,el servicio,noun
boyfriend,el novio,noun
position,el puesto,noun
dollar,el dólar,noun
memory,el recuerdo,noun
safety,la seguridad,noun
film,la película,noun
list,la lista,noun
wine,el vino,noun
center,el centro,noun
matter,el asunto,noun
information,la información,noun
room,la habitación,noun
lack,la falta,noun
sky,el cielo,noun
business,el negocio,noun
sleep,el sueño,noun
captain,el capitán,noun
food,la comida,noun
baby,el bebé,noun
voice,la voz,noun
photo,la foto,noun
pair,el par,noun
peace,la paz,noun
fault,la culpa,noun
notice,la noticia,noun
music,la música,noun
devil,el diablo,noun
rest,el resto,noun
doctor,el médico,noun
sir,el don,noun
programme,el programa,noun
site,el sitio,noun
countryside,el campo,noun
bed,la cama,noun
grandfather,el abuelo,noun
voyage,el viaje,noun
demon,el demonio,noun
office,la oficina,noun
action,la acción,noun
line,la línea,noun
agent,el agente,noun
paper,el papel,noun
air,el aire,noun
whore,la puta,noun
principle,el principio,noun
company,la empresa,noun
bend,el través,noun
example,el ejemplo,noun
master,el amo,noun
king,el rey,noun
fourth,el cuarto,noun
decision,la decisión,noun
control,el control,noun
fire,el fuego,noun
theme,el tema,noun
reply,la respuesta,noun
level,el nivel,noun
study,el estudio,noun
a secret,el secreto,noun
message,el mensaje,noun
result,el resultado,noun
future,el futuro,noun
companion,el compañero,noun
attention,la atención,noun
zone,la zona,noun
sight,la vista,noun
age,la edad,noun
lawyer,el abogado,noun
direction,la dirección,noun
bottom,el fondo,noun
a son of an important or respectable person,el señorito,noun
process,el proceso,noun
investigation,la investigación,noun
coffee,el café,noun
doubt,la duda,noun
a regiment of 100 soldiers in the spanish protectorate of morocco,la mía,noun
garment,la ropa,noun
value,el valor,noun
professor,el profesor,noun
meeting,la reunión,noun
mouth,la boca,noun
space,el espacio,noun
image,la imagen,noun
charge,el cargo,noun
horseman,el caballero,noun
possibility,la posibilidad,noun
college,la universidad,noun
advice,el consejo,noun
murderer,el asesino,noun
damage,el daño,noun
society,la sociedad,noun
project,el proyecto,noun
table,la mesa,noun
patient,el paciente,noun
movement,el movimiento,noun
race,la carrera,noun
horse,el caballo,noun
century,el siglo,noun
pardon,el perdón,noun
punishment,la pena,noun
bank,el banco,noun
majority,la mayoría,noun
member,el miembro,noun
condition,la condición,noun
effect,el efecto,noun
arm,el brazo,noun
minister,el ministro,noun
liberty,la libertad,noun
assassination,el asesinato,noun
interest,el interés,noun
sun,el sol,noun
box,la caja,noun
client,el cliente,noun
victim,la víctima,noun
desire,el deseo,noun
cause,la causa,noun
date,la cita,noun
treatment,el trato,noun
star,la estrella,noun
sex,el sexo,noun
pain,el dolor,noun
taste,el gusto,noun
song,la canción,noun
bath,el baño,noun
objective,el objetivo,noun
respect,el respecto,noun
health,la salud,noun
salt,la sal,noun
mind,la mente,noun
dirt,el suelo,noun
measurement,la medida,noun
species,la especie,noun
difference,la diferencia,noun
price,el precio,noun
hair,el pelo,noun
opinion,la opinión,noun
market,el mercado,noun
election,la elección,noun
silence,el silencio,noun
need,la necesidad,noun
hate,el odio,noun
experience,la experiencia,noun
activity,la actividad,noun
drug,la droga,noun
accident,el accidente,noun
army,el ejército,noun
attack,el ataque,noun
contact,el contacto,noun
soul,el alma,noun
soldier,el soldado,noun
key,la llave,noun
energy,la energía,noun
boat,el barco,noun
judge,el juez,noun
river,el río,noun
tent,la tienda,noun
aeroplane,el avión,noun
candy,el dulce,noun
operation,la operación,noun
encounter,el encuentro,noun
spring,la fuente,noun
report,el informe,noun
left,la izquierda,noun
leg,la pierna,noun
sign,la señal,noun
sample,la muestra,noun
note,la nota,noun
scene,la escena,noun
meter,el metro,noun
entrance,la entrada,noun
present,el regalo,noun
building,el edificio,noun
illness,la enfermedad,noun
suit,el traje,noun
excuse,la disculpa,noun
supper,la cena,noun
custodian,el guardia,noun
development,el desarrollo,noun
datum,el dato,noun
violent crime,el crimen,noun
flower,la flor,noun
wedding,la boda,noun
unit,la unidad,noun
heap,el montón,noun
success,el éxito,noun
